group_var,ep_id,ep_country,ep_main_act,ep_clustered,activity_uuid_product_uuid,multi_match,completion
honeycomb-.-germany-.-wholesaler,a2254d8f2c058313b9e2a271c9d38836360c22a4,germany,wholesaler,honeycomb,79ed37d2-df7c-5ad5-8377-8dd22d33f590_7f758dea-2473-4400-a8ed-349bc95e2deb,False,low
hexagon socket head screws-.-germany-.-wholesaler,f79a8ee47c07a2e5d2512bbb234948e7fd934ccb,germany,wholesaler,hexagon socket head screws,22497ee5-5bd5-53ac-bc64-d820cf26d55f_6716b460-7ba0-4cea-baa4-32ae24bfb88c,False,low
ceramic-.-spain-.-retailer,70e8853988eb8c1bd9d525b55ff7a2b49b8633ec,spain,retailer,ceramic,761b01d6-4ad5-5a5a-92b7-7c9ec6fbb6e1_33187006-ca03-4db5-bc5a-75a91024c3ef,False,high
table roasters-.-germany-.-wholesaler,654229c9eb9b4d61b0e27c81eeb4e570ab77fa3f,germany,wholesaler,table roasters,4a5f79c5-2bd8-516d-883f-e8765a6529b8_9e36204d-dec9-4fb1-98d6-d84febd5df2c,False,low
granite-.-germany-.-wholesaler,c85d83c5e26c7e86c16933c3d70e8356b170a82c,germany,wholesaler,granite,59d9e82b-c54c-5286-9597-7473b343959f_fa18a7ed-8078-4d8b-8bd6-3d9a94ab0a5f,False,high
crushers-.-france-.-wholesaler,6d98cde2d9633bd5b636e573151e548101d3fd65,france,wholesaler,crushers,fa7c9e25-92fd-57b4-a7de-867bc1ce35fe_ecaff1a6-6df6-4733-b8cf-9a9206230287,False,high
specialist glass bottles-.-france-.-manufacturer/ producer,65eb4af4faed1487a6432ef98bc93558541b100a,france,manufacturer/ producer,specialist glass bottles,d95e813c-269f-597f-9376-f38eb6ba3be8_0a6c7524-9e23-41b8-ac7b-b0489ed4681c,False,high
food colourings-.-spain-.-manufacturer/ producer,5c6f736df381b580f745314565507e0cf17c2209,spain,manufacturer/ producer,food colourings,f1ed60fb-c171-5b79-9e5f-3eda27ca1f19_0dab73c6-b214-4e9c-8c38-ab49d608637b,False,low
chemistry raw materials-.-germany-.-distributor,bddbc9371174610e6fc25041481a898f68b64982,germany,distributor,chemistry raw materials,7abe92c4-6c21-5042-bc1c-848dcd28fe6c_73b452c8-3ac4-4993-86e4-fe0653467988,False,high
agricultural cooperative-.-france-.-manufacturer/ producer,54d514c2ef7d1f3945570986cd69582685650469,france,manufacturer/ producer,agricultural cooperative,785a0b52-2752-5618-bf5f-c9823aab2aa0_f9d0ebe8-3cdc-472a-93bf-57aa52a10421,False,low
filter cartridge-.-france-.-manufacturer/ producer,8a6ed8c87f4ba71c9f74b0df71026ebb30864ab8,france,manufacturer/ producer,filter cartridge,4da13f34-eca4-5dd9-94e6-547b4657d4f7_2bdd98d4-0ef8-4c4c-a1b2-f5de5e4786af,False,low
speciality lubricants-.-netherlands-.-manufacturer/ producer,534540efd61d62a1bf5c6bda803f9b3800a0df07,netherlands,manufacturer/ producer,speciality lubricants,95a86d11-4335-55ce-99e9-79d1051c92a0_ea75b944-c676-4a13-85b8-2bea98f765a4,False,medium
cold worked profiles-.-germany-.-manufacturer/ producer,6180c59db9b9413892f06bc474f5d69ebd8a6d5e,germany,manufacturer/ producer,cold worked profiles,888179ad-f0ae-59ba-bffc-295da5149d55_397aa683-8e6b-4ec7-83e7-7366f9b03a5a,False,low
electric parts-.-france-.-distributor,325ebbcddafea8bd5e3f5903b43009f14b66ccf3,france,distributor,electric parts,e6b01ab0-b94d-5c9c-8d37-edac7376f884_f575d599-c290-4329-8b87-f0cbf03b4311,False,high
assembly of mechanical parts-.-netherlands-.-manufacturer/ producer,adc50345a2e06149237d248b1faa0576930029f0,netherlands,manufacturer/ producer,assembly of mechanical parts,0548bf08-b142-5eef-bbd4-ca402a7e32de_254f15c9-25c1-4f01-a416-5c1359124d97,False,low
cavity walls - insulating materials-.-netherlands-.-manufacturer/ producer,63b0fec753238de15081c2894b9ec62d65e6b162,netherlands,manufacturer/ producer,cavity walls - insulating materials,de111e25-b3bf-5515-9db2-49d6d724e623_d98efea6-b076-4cb6-893a-17f54893be5a,False,low
"convectors, domestic-.-germany-.-manufacturer/ producer",55048da5e5881e1ab0faa3a69e42ec102307cc15,germany,manufacturer/ producer,"convectors, domestic",ad708c4b-cb25-5b1d-bf87-06243293b646_cf237b63-46c5-4567-b705-84bdac0a8ac6,False,low
cnc metal machining-.-germany-.-manufacturer/ producer,8fd797c1cd05a489ec78e07ff0e09049bde4bac4,germany,manufacturer/ producer,cnc metal machining,f2056b42-5d2e-504a-8f52-7409d0a6a951_a5fc651b-3ee2-405f-b2f0-d035c8132be1,False,low
contract cnc machining-.-netherlands-.-manufacturer/ producer,59543c1591ffe9e177701a5ca2ddc3f9b886db8c,netherlands,manufacturer/ producer,contract cnc machining,a86384b4-31b7-5c34-bb7d-08a74d006d33_8f7f787b-119e-481a-a2fa-e3ee86bcf5c8,False,medium
air filters-.-germany-.-wholesaler,958466c8f3553557d33a8728eeb4b5d910877470,germany,wholesaler,air filters,6b409453-3f6a-5d99-b95b-02be0b756527_2bdd98d4-0ef8-4c4c-a1b2-f5de5e4786af,False,high
3d mixer machines-.-germany-.-manufacturer/ producer,46d963c4991c0e1dd0e63294efcd5c5da864ac83,germany,manufacturer/ producer,3d mixer machines,6af736f9-a8c5-53c7-9930-730beb7ea8ab_325592d0-d9d7-4d62-8cb4-b58761da37d7,False,medium
sand-.-austria-.-manufacturer/ producer,42625bfecef1fbf9ae6ffb9427f666c98e27559f,austria,manufacturer/ producer,sand,30df9b1d-25ab-5f57-99ba-680cab7ac5bf_f51d7ccf-0bee-430d-98a3-8334adbe39fc,False,high
water retreatment installations-.-austria-.-manufacturer/ producer,e5b07aefdfe57b8cc66afa308dd68773d03bdd7c,austria,manufacturer/ producer,water retreatment installations,804ad425-5c4a-5f79-bbb5-7705a0231ef3_29df5117-7c11-4755-845d-be70985cc5d9,False,low
"timber, unplaned-.-spain-.-manufacturer/ producer",a7632e5aa67e84635673f2a83e5f018fb25e103a,spain,manufacturer/ producer,"timber, unplaned",ae619c5a-b4b1-52c1-8ab9-7f956622f247_3473bca6-5172-44d2-bda1-1f681e891ca8,False,low
onion-.-spain-.-agent/ representative,6ac8c09b23dfda5c22b9075292cb6e505c4b8fbf,spain,agent/ representative,onion,12786a60-ce35-56ff-8285-2a95112ad2f2_1945897f-c0a2-4dbf-8397-9fd93e6a9445,False,high
surgical optics instruments-.-germany-.-manufacturer/ producer,6078e6585299180f9e00a84b8bd9b11a06c7e095,germany,manufacturer/ producer,surgical optics instruments,af476cee-9f8c-514c-95c0-99d16a3dca62_d0d14ac8-629d-4234-bfeb-f82e6fd79788,False,medium
fertilizer-.-austria-.-distributor,2fa688b40cb8683c7739c177efad4a2d76de0053,austria,distributor,fertilizer,85ec0363-e48d-5fc6-9411-f56d268fdeed_6abd94ee-c078-4163-8ba0-acbc45aa9423,False,high
logging-.-france-.-distributor,42f7b07db92a254d70b2763520ccb302387e6d6e,france,distributor,logging,2b3502b6-7d5d-5a8c-b60e-ee1d3a46266a_b90634dc-b7d5-4c1c-98dc-7cb18fccaa1f,False,high
onion-.-spain-.-manufacturer/ producer,6ac8c09b23dfda5c22b9075292cb6e505c4b8fbf,spain,manufacturer/ producer,onion,2e6ffc64-bbba-5b84-b2d8-799bf1c73546_1945897f-c0a2-4dbf-8397-9fd93e6a9445,False,high
cereal-.-spain-.-wholesaler,1a44e94804d4bec1db9f794f4f36d00188aac4f1,spain,wholesaler,cereal,26ea6a9e-a65e-5c02-883b-ffd6191b58da_f34f8cab-8343-4e5b-89df-be2deada9b1f,False,low
plastic supports-.-spain-.-manufacturer/ producer,77ae8794faa4ba80f8e646ab5e3a999e0df0af62,spain,manufacturer/ producer,plastic supports,5b27ccb2-4fd4-5a67-8ce3-8b90d3ed417c_fa6f1b55-8b52-4052-a2c8-0a0ba7a22d17,False,low
cosmetic raw material-.-germany-.-distributor,db8a802f282f539c14b06e222035c3216cdc0ea9,germany,distributor,cosmetic raw material,4464c5b6-db54-544a-bc13-2da4ab5d1297_9795973a-54b4-43e2-879d-9291e235e4a4,False,low
organic food supplements-.-germany-.-manufacturer/ producer,4af12bb829873e17bf3f95f9f530f4dfe7b02e6f,germany,manufacturer/ producer,organic food supplements,044a144f-6eeb-5d00-a427-329eac81ae86_fa8fdaec-627a-4055-b2e9-49b238cf166f,False,high
"foods, precooked-.-france-.-wholesaler",b3a633fcc2d19d9d224525a30baebe1e89190c42,france,wholesaler,"foods, precooked",4a5f79c5-2bd8-516d-883f-e8765a6529b8_9e36204d-dec9-4fb1-98d6-d84febd5df2c,False,low
stainless steel plate-.-france-.-manufacturer/ producer,6e5d812081b1285367ebba1b8504c49920dfb72b,france,manufacturer/ producer,stainless steel plate,86cb8c8e-98a4-506c-a784-262a52036a02_c5246dbb-0abd-4bee-8dda-d52a1b202322,False,high
woodworking hand tools sharpened-.-france-.-manufacturer/ producer,71c81d4eb500d34c9581c69a0e78d347bacae063,france,manufacturer/ producer,woodworking hand tools sharpened,bef15cc2-25e1-56dc-b347-a78e9bdfc9a4_e76d8fdf-fbea-4ae3-85d6-ea1e6d5c21c5,False,low
drinking water analysis-.-spain-.-manufacturer/ producer,9abc512b2c267e245960998837fb15e952a2d45c,spain,manufacturer/ producer,drinking water analysis,68f4d811-4805-56ae-ad25-486de672a786_c5adb1fb-872e-4446-a3bb-c4b61aa4bd45,False,low
mutton-.-spain-.-wholesaler,6db90e8c021387c565d0fbb1d3d5e0fbe8713d60,spain,wholesaler,mutton,96464bba-fada-5c32-a843-1b5ef51af008_2c9ff48f-b3da-440d-8502-15b14bfbb150,False,low
mim products for dental technology-.-germany-.-manufacturer/ producer,a60669cfec345bcd36ca9813d0c4b04479080cca,germany,manufacturer/ producer,mim products for dental technology,79d628a4-5f0d-51e8-b1dc-64feba844efb_a8f9b840-05ff-4dad-b11e-dd4b1342655d,False,low
foundry tools-.-germany-.-manufacturer/ producer,1f3ef44a650ca6a02a73621edff2c662ff0ffdf1,germany,manufacturer/ producer,foundry tools,f2056b42-5d2e-504a-8f52-7409d0a6a951_a5fc651b-3ee2-405f-b2f0-d035c8132be1,False,low
tubular structures-.-germany-.-manufacturer/ producer,a8fb5424cf554c99c5a37bcd7da54c6dcb670eff,germany,manufacturer/ producer,tubular structures,c9b47996-fea9-5386-8372-b711fd3f1ecd_5cee9505-17ca-55f9-9677-6edfbeb5edb4,False,low
bead blasting robot-.-france-.-manufacturer/ producer,e4e6c1b3fcb602bfbe8bc9f3dbb232b828846051,france,manufacturer/ producer,bead blasting robot,df68a488-e234-5947-9789-48033943a603_46f66854-d55f-472f-a570-a7aad4fdcfcc,False,low
"foods, health-.-germany-.-retailer",d09ad07a6ce4dd30b238fe70666e9b8b7c010b96,germany,retailer,"foods, health",39ebe28a-5e62-57b7-a4ed-d482154ef244_0dab73c6-b214-4e9c-8c38-ab49d608637b,False,low
sound insulation materials-.-germany-.-distributor,0d7df6710997c7778fa56740a83c7f32a790878c,germany,distributor,sound insulation materials,97b7f140-2704-5253-b6b3-aaae17717c3a_d11b6468-c23b-4139-bd97-2dd8542a7ead,False,low
stainless steel tank-.-france-.-manufacturer/ producer,4aefe6d886ae229219da563c2e4832cd4739c0ea,france,manufacturer/ producer,stainless steel tank,de9a0c76-5650-5def-b046-a399c88df4f9_8cb650d5-8a48-4719-81b1-2080b3b4387f,False,medium
food-.-germany-.-agent/ representative,39ccb32d95edfdbcd882f2b01809724ec640ea16,germany,agent/ representative,food,4a5f79c5-2bd8-516d-883f-e8765a6529b8_9e36204d-dec9-4fb1-98d6-d84febd5df2c,False,low
"meats, frozen-.-spain-.-manufacturer/ producer",ed992c95928f4288b27ef5da92a11ea8d589844b,spain,manufacturer/ producer,"meats, frozen",912e814e-e0b5-5bd9-9aed-47fe482c5da4_9e36204d-dec9-4fb1-98d6-d84febd5df2c,False,low
flight cases-.-germany-.-agent/ representative,d3931f7b683c09d18da8288875b3a25c26b82e39,germany,agent/ representative,flight cases,9d7de198-055c-5b0d-bce3-09de1b57b7ff_9e63b5ec-1147-4a34-84fd-697203242984,False,low
finding local service providers-.-spain-.-agent/ representative,df3a9fef2071d266fd0d0e9ca56e168020632fc3,spain,agent/ representative,finding local service providers,b12b530a-4b6b-5599-8db3-4e0d2c60e534_bfe6c58b-7566-4ed0-8440-7567f591c31f,False,high
energy-.-spain-.-manufacturer/ producer,173d9168467e6c362eb90950c4421cb8bc8d11b6,spain,manufacturer/ producer,energy,c74333e1-13a3-54e1-843c-4d8affae828c_1873d261-bf81-410d-9dfc-178afc6523fe,False,low
bus wheel trim-.-spain-.-wholesaler,503d8b5a1a0da6744132fa5ab73fac93a0fe38d4,spain,wholesaler,bus wheel trim,c6a47d63-5354-5d48-a273-0a43d57c7154_8aaef912-67db-46e5-ae88-e6e8350aadf5,False,low
painting - contractors-.-germany-.-wholesaler,cddc17e7f295d9ce669fb1553e2df78bfa8146cd,germany,wholesaler,painting - contractors,d0c6a3c2-2aff-5aed-bfe0-890827607924_bc7c3720-dcba-41b4-9d96-380b55275e57,False,low
veneers-.-spain-.-wholesaler,e6bc64f98da5caeaf64d216621be1dad258a3120,spain,wholesaler,veneers,eb02e5c8-b9e5-5ed5-8e90-bfd76724520f_f245d8fa-864f-4b3f-b35e-7c8f9ce76a4b,False,high
transport sleds-.-france-.-manufacturer/ producer,cf874ec1e44c4d1569b71fb699c9fbd9cf5654c8,france,manufacturer/ producer,transport sleds,69d0a0ed-e8cf-5d27-8e2d-1a764a79f862_c7f4de9b-f58b-4189-976e-51586da634df,False,low
steel formwork-.-spain-.-manufacturer/ producer,3413508980be46e5e5ec595180517dfd3c6fe92a,spain,manufacturer/ producer,steel formwork,240100f2-96d4-5428-a763-aad9986e993d_9ba48284-0f03-4fec-800d-de77833b12f6,False,high
management advice-.-austria-.-distributor,bae0797e6f940c9e71ecc91fefbd16a14b47a06d,austria,distributor,management advice,01f0ed1d-792a-5139-abfc-33c9d9af0f3f_f300bf9e-ce80-4fcc-8452-6a58eebf4105,False,low
wooden accessory-.-france-.-retailer,1cb22bfa9f6e8a70ec9a1b2a369ad2dc86f862aa,france,retailer,wooden accessory,eb02e5c8-b9e5-5ed5-8e90-bfd76724520f_f245d8fa-864f-4b3f-b35e-7c8f9ce76a4b,False,low
baby fashion-.-netherlands-.-wholesaler,7abeee20e1a3f9af5f7e01e0229575be0c799e12,netherlands,wholesaler,baby fashion,f9b52ed2-c21b-59ee-b233-f588589a3b23_b167bcef-715e-4136-a743-2fae79a086d3,False,low
pet food-.-spain-.-retailer,af8c961b2583fb1dd125a6e44453403ebcc514c2,spain,retailer,pet food,63ad40ba-db5e-52ef-9c33-8b6f8069d264_8b2dfb58-660d-44eb-b83f-5d9e28e467db,False,low
off-road vehicles-.-austria-.-wholesaler,4029cd4c87cc3ea0f47991877e78adcc56951faa,austria,wholesaler,off-road vehicles,2aa1996f-05e3-5df5-8bd8-2b4caf6e3780_648bdb63-6ff5-45e5-bcb4-411296a22c3d,False,low
off-road vehicles-.-germany-.-retailer,4029cd4c87cc3ea0f47991877e78adcc56951faa,germany,retailer,off-road vehicles,2aa1996f-05e3-5df5-8bd8-2b4caf6e3780_648bdb63-6ff5-45e5-bcb4-411296a22c3d,False,low
