Scenario,Region,Variable Class,Sub Variable Class,Sector,Sub Sector,Units,Year,Value,Reductions
1.5C Required Policy Scenario,World,GHG emissions,CO2,Power,,Mt,2020,12763.46,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Power,,Mt,2030,5359.18,0.58
1.5C Required Policy Scenario,World,GHG emissions,CO2,Power,,Mt,2040,392.35,0.97
1.5C Required Policy Scenario,World,GHG emissions,CO2,Power,,Mt,2050,-807.13,1.06
1.5C Required Policy Scenario,World,GHG emissions,CO2,Buildings,,Mt,2020,3009.20,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Buildings,,Mt,2030,2454.21,0.18
1.5C Required Policy Scenario,World,GHG emissions,CO2,Buildings,,Mt,2040,1027.61,0.66
1.5C Required Policy Scenario,World,GHG emissions,CO2,Buildings,,Mt,2050,61.30,0.98
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Iron and Steel,Mt,2020,2415.21,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Iron and Steel,Mt,2030,1871.82,0.22
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Iron and Steel,Mt,2040,778.21,0.68
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Iron and Steel,Mt,2050,88.29,0.96
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Non-metallic minerals,Mt,2020,3021.22,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Non-metallic minerals,Mt,2030,2641.47,0.13
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Non-metallic minerals,Mt,2040,1573.82,0.48
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Non-metallic minerals,Mt,2050,591.81,0.80
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Chemicals,Mt,2020,1385.39,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Chemicals,Mt,2030,1217.95,0.12
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Chemicals,Mt,2040,690.34,0.50
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Chemicals,Mt,2050,101.76,0.93
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Other Industry,Mt,2020,1920.93,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Other Industry,Mt,2030,1747.64,0.09
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Other Industry,Mt,2040,920.56,0.52
1.5C Required Policy Scenario,World,GHG emissions,CO2,Industry ,Other Industry,Mt,2050,92.00,0.95
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Cars,Mt,2020,2761.65,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Cars,Mt,2030,2341.53,0.15
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Cars,Mt,2040,362.43,0.87
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Cars,Mt,2050,24.95,0.99
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Trucks,Mt,2020,1831.88,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Trucks,Mt,2030,2087.33,-0.14
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Trucks,Mt,2040,524.46,0.71
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Trucks,Mt,2050,33.09,0.98
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Aviation,Mt,2020,656.15,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Aviation,Mt,2030,1211.47,-0.85
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Aviation,Mt,2040,891.49,-0.36
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Aviation,Mt,2050,362.59,0.45
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Shipping,Mt,2020,807.86,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Shipping,Mt,2030,1042.77,-0.29
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Shipping,Mt,2040,771.12,0.05
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Shipping,Mt,2050,223.51,0.72
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Other Transport,Mt,2020,1278.47,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Other Transport,Mt,2030,993.91,0.22
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Other Transport,Mt,2040,234.56,0.82
1.5C Required Policy Scenario,World,GHG emissions,CO2,Transport,Other Transport,Mt,2050,96.94,0.92
1.5C Required Policy Scenario,World,GHG emissions,CO2,Other energy,,Mt,2020,2912.34,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Other energy,,Mt,2030,2742.62,0.06
1.5C Required Policy Scenario,World,GHG emissions,CO2,Other energy,,Mt,2040,1571.37,0.46
1.5C Required Policy Scenario,World,GHG emissions,CO2,Other energy,,Mt,2050,699.21,0.76
1.5C Required Policy Scenario,World,GHG emissions,CO2,Total,Energy,Mt,2020,34763.74,0.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,Total,Energy,Mt,2030,25711.90,0.26
1.5C Required Policy Scenario,World,GHG emissions,CO2,Total,Energy,Mt,2040,9738.32,0.72
1.5C Required Policy Scenario,World,GHG emissions,CO2,Total,Energy,Mt,2050,1568.33,0.95
1.5C Required Policy Scenario,World,GHG emissions,CO2,,Land Use,Mt,2020,5860.00,1.00
1.5C Required Policy Scenario,World,GHG emissions,CO2,,Land Use,Mt,2030,2250.00,0.62
1.5C Required Policy Scenario,World,GHG emissions,CO2,,Land Use,Mt,2040,570.00,0.90
1.5C Required Policy Scenario,World,GHG emissions,CO2,,Land Use,Mt,2050,-1870.00,1.32
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Power,NA,Mt,2020,12747.75,-5.31
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Power,NA,Mt,2030,10703.70,-4.30
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Power,NA,Mt,2040,4730.19,-1.34
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Power,NA,Mt,2050,394.41,0.80
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Buildings,NA,Mt,2020,2969.61,-0.47
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Buildings,NA,Mt,2030,2909.41,-0.44
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Buildings,NA,Mt,2040,2030.85,-0.01
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Buildings,NA,Mt,2050,698.82,0.65
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Iron and Steel,Mt,2020,2416.52,-0.20
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Iron and Steel,Mt,2030,2263.54,-0.12
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Iron and Steel,Mt,2040,1536.29,0.24
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Iron and Steel,Mt,2050,813.02,0.60
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Non-metallic minerals,Mt,2020,3021.22,-0.50
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Non-metallic minerals,Mt,2030,2962.73,-0.47
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Non-metallic minerals,Mt,2040,2443.86,-0.21
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Non-metallic minerals,Mt,2050,1851.31,0.08
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Chemicals,Mt,2020,1385.39,0.31
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Chemicals,Mt,2030,1418.98,0.30
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Chemicals,Mt,2040,1058.48,0.48
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Chemicals,Mt,2050,519.80,0.74
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Other Industry,Mt,2020,1920.93,0.05
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Other Industry,Mt,2030,2230.20,-0.10
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Other Industry,Mt,2040,1979.73,0.02
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Industry,Other Industry,Mt,2050,1556.10,0.23
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Cars,Mt,2020,2761.67,-0.37
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Cars,Mt,2030,2744.94,-0.36
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Cars,Mt,2040,862.28,0.57
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Cars,Mt,2050,133.74,0.93
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Trucks,Mt,2020,1831.92,0.09
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Trucks,Mt,2030,2167.29,-0.07
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Trucks,Mt,2040,834.45,0.59
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Trucks,Mt,2050,139.49,0.93
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Aviation,Mt,2020,656.15,0.68
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Aviation,Mt,2030,1369.15,0.32
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Aviation,Mt,2040,1097.81,0.46
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Aviation,Mt,2050,845.08,0.58
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Shipping,Mt,2020,807.86,0.60
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Shipping,Mt,2030,1180.86,0.42
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Shipping,Mt,2040,1045.14,0.48
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Shipping,Mt,2050,682.23,0.66
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Other Transport,Mt,2020,1278.40,0.37
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Other Transport,Mt,2030,1114.99,0.45
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Other Transport,Mt,2040,385.76,0.81
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Transport,Other Transport,Mt,2050,119.44,0.94
 Forecast Policy Response (FPS) 1.8 scenario ,World,GHG emissions,CO2,Other energy,NA,Mt,2020,2908.18,-0.44
