main_activity,clustered,tilt_subsector
service provider,aluminium die cut articles,Iron & Steel
service provider,band steel cuts (cutting dies),Iron & Steel
service provider,stainless sheets,Iron & Steel
service provider,cnc punching work,Iron & Steel
service provider,perforated sheet metal products (semi-finished),Iron & Steel
missing,c.n.c milling,Iron & Steel
subcontractor,c.n.c milling,Iron & Steel
multi-category,c.n.c milling,Iron & Steel
distributor,cnc boring,Iron & Steel
multi-category,cnc boring,Automotive LDV
service provider,brazing,Iron & Steel
wholesaler,brazing,Iron & Steel
agent/ representative,brazing,Iron & Steel
retailer,brazing,Iron & Steel
service provider,number control rolling,Iron & Steel
manufacturer/ producer,number control rolling,Iron & Steel
subcontractor,number control rolling,Iron & Steel
service provider,multispindle lathes,Iron & Steel
subcontractor,multispindle lathes,Iron & Steel
service provider,design software,Iron & Steel
service provider,motor grinding,Iron & Steel
service provider,panel finishing,Iron & Steel
multi-category,panel finishing,Iron & Steel
service provider,design of customised parts,Iron & Steel
subcontractor,design of customised parts,Iron & Steel
service provider,micro-turning for connectors,Iron & Steel
service provider,wire spark erosion,Iron & Steel
service provider,cutting of steels,Iron & Steel
manufacturer/ producer,cutting of steels,Iron & Steel
missing,cutting of steels,Iron & Steel
subcontractor,cutting of steels,Iron & Steel
service provider,robot mig welding,Iron & Steel
retailer,"metals, special",Other Metals
missing,zinc alloy,Iron & Steel
manufacturer/ producer,pickling,Iron & Steel
manufacturer/ producer,pickling metal,Iron & Steel
multi-category,industrial washing,Iron & Steel
distributor,drill bit,Iron & Steel
service provider,"moulds, foundry",Iron & Steel
service provider,artistic training,Iron & Steel
agent/ representative,camping parts,Automotive LDV
multi-category,consultants construction,Construction Residential
missing,plumbing installations,Renewable Energy
subcontractor,plumbing installations,Fishing & Forestry
service provider,"sheds, steel",Iron & Steel
retailer,mirrors,Construction Residential
service provider,spark erosion,Iron & Steel
missing,spark erosion,Iron & Steel
subcontractor,spark erosion,Iron & Steel
service provider,tapping machine tools,Iron & Steel
service provider,boring,Iron & Steel
manufacturer/ producer,boring,Iron & Steel
service provider,industrial engraving,Iron & Steel
service provider,marking on all surfaces,Iron & Steel
service provider,grinding of cutting tools,Iron & Steel
service provider,sharpening of ancillary tools,Iron & Steel
subcontractor,nickel plating,Iron & Steel
service provider,digital radiography,Iron & Steel
multi-category,digital radiography,no_match
