scenario,region,sector,subsector,year,value,reductions,type
1.5C RPS,world,power,,2030,5359.18,0.58,ipr
1.5C RPS,world,power,,2050,-807.13,1.06,ipr
1.5C RPS,world,buildings,,2030,2454.21,0.18,ipr
1.5C RPS,world,buildings,,2050,61.3,0.98,ipr
1.5C RPS,world,industry,iron and steel,2030,1871.82,0.22,ipr
1.5C RPS,world,industry,iron and steel,2050,88.29,0.96,ipr
1.5C RPS,world,industry,non-metallic minerals,2030,2641.47,0.13,ipr
1.5C RPS,world,industry,non-metallic minerals,2050,591.81,0.8,ipr
1.5C RPS,world,industry,chemicals,2030,1217.95,0.12,ipr
1.5C RPS,world,industry,chemicals,2050,101.76,0.93,ipr
1.5C RPS,world,industry,other industry,2030,1747.64,0.09,ipr
1.5C RPS,world,industry,other industry,2050,92.0,0.95,ipr
1.5C RPS,world,transport,cars,2030,2341.53,0.15,ipr
1.5C RPS,world,transport,cars,2050,24.95,0.99,ipr
1.5C RPS,world,transport,trucks,2030,2087.33,-0.14,ipr
1.5C RPS,world,transport,trucks,2050,33.09,0.98,ipr
1.5C RPS,world,transport,aviation,2030,1211.47,-0.85,ipr
1.5C RPS,world,transport,aviation,2050,362.59,0.45,ipr
1.5C RPS,world,transport,shipping,2030,1042.77,-0.29,ipr
1.5C RPS,world,transport,shipping,2050,223.51,0.72,ipr
1.5C RPS,world,transport,other transport,2030,993.91,0.22,ipr
1.5C RPS,world,transport,other transport,2050,96.94,0.92,ipr
1.5C RPS,world,other energy,,2030,2742.62,0.06,ipr
1.5C RPS,world,other energy,,2050,699.21,0.76,ipr
1.5C RPS,world,total,energy,2030,25711.9,0.26,ipr
1.5C RPS,world,total,energy,2050,1568.33,0.95,ipr
1.5C RPS,world,,land use,2030,2250.0,0.62,ipr
1.5C RPS,world,,land use,2050,-1870.0,1.32,ipr
NZ 2050,world,total,total energy supply,2030,20590.4,0.35,weo
NZ 2050,world,total,total energy supply,2050,509.63,0.98,weo
NZ 2050,world,coal,total energy supply,2030,7578.32,0.47,weo
NZ 2050,world,coal,total energy supply,2050,114.27,0.99,weo
NZ 2050,world,oil,total energy supply,2030,7710.44,0.24,weo
NZ 2050,world,oil,total energy supply,2050,722.15,0.93,weo
NZ 2050,world,natural gas,total energy supply,2030,5282.33,0.26,weo
NZ 2050,world,natural gas,total energy supply,2050,404.67,0.94,weo
NZ 2050,world,bioenergy and waste,total energy supply,2030,19.34,0.91,weo
NZ 2050,world,bioenergy and waste,total energy supply,2050,-731.46,4.43,weo
NZ 2050,world,total,power sector inputs,2030,7076.47,0.48,weo
NZ 2050,world,total,power sector inputs,2050,-350.78,1.03,weo
NZ 2050,world,coal,power sector inputs,2030,4653.48,0.52,weo
NZ 2050,world,coal,power sector inputs,2050,26.65,1.0,weo
NZ 2050,world,oil,power sector inputs,2030,167.39,0.7,weo
NZ 2050,world,oil,power sector inputs,2050,2.34,1.0,weo
NZ 2050,world,natural gas,power sector inputs,2030,2264.18,0.27,weo
NZ 2050,world,natural gas,power sector inputs,2050,41.69,0.99,weo
NZ 2050,world,bioenergy and waste,power sector inputs,2030,-8.58,1.09,weo
NZ 2050,world,bioenergy and waste,power sector inputs,2050,-421.46,5.25,weo
NZ 2050,world,total,other energy sector,2030,965.62,0.35,weo
NZ 2050,world,total,other energy sector,2050,-266.45,1.18,weo
NZ 2050,world,total,total final consumption,2030,14765.0,0.24,weo
NZ 2050,world,total,total final consumption,2050,1004.68,0.95,weo
NZ 2050,world,coal,total final consumption,2030,2835.23,0.37,weo
NZ 2050,world,coal,total final consumption,2050,72.92,0.98,weo
NZ 2050,world,oil,total final consumption,2030,7162.05,0.21,weo
NZ 2050,world,oil,total final consumption,2050,650.79,0.93,weo
NZ 2050,world,natural gas,total final consumption,2030,2490.73,0.25,weo
NZ 2050,world,natural gas,total final consumption,2050,213.23,0.94,weo
NZ 2050,world,bioenergy and waste,total final consumption,2030,28.89,0.75,weo
NZ 2050,world,bioenergy and waste,total final consumption,2050,-204.82,2.8,weo
NZ 2050,world,total,industry,2030,7167.71,0.22,weo
NZ 2050,world,total,industry,2050,395.78,0.96,weo
NZ 2050,world,total,iron and steel,2030,2090.54,0.23,weo
NZ 2050,world,total,iron and steel,2050,176.88,0.94,weo
NZ 2050,world,total,chemicals,2030,1137.24,0.12,weo
NZ 2050,world,total,chemicals,2050,38.48,0.97,weo
NZ 2050,world,total,non-metallic minerals: cement,2030,1910.46,0.22,weo
NZ 2050,world,total,non-metallic minerals: cement,2050,75.5,0.97,weo
NZ 2050,world,total,transport,2030,5687.01,0.2,weo
NZ 2050,world,total,transport,2050,535.16,0.92,weo
NZ 2050,world,total,road,2030,3987.84,0.27,weo
NZ 2050,world,total,road,2050,195.03,0.96,weo
NZ 2050,world,total,road passenger light duty vehicle,2030,1690.99,0.4,weo
NZ 2050,world,total,road passenger light duty vehicle,2050,45.34,0.98,weo
NZ 2050,world,total,road heavy-duty trucks,2030,1574.26,0.07,weo
NZ 2050,world,total,road heavy-duty trucks,2050,136.12,0.92,weo
NZ 2050,world,total,total aviation (domestic and bunkers),2030,884.21,-0.51,weo
NZ 2050,world,total,total aviation (domestic and bunkers),2050,199.44,0.66,weo
NZ 2050,world,total,total navigation (domestic and bunkers),2030,673.37,0.15,weo
